Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
410,Austin Reaves,SG,25,LAL,61,36,31.4,5.5,11.2,0.49,1.7,4.7,0.36,3.8,6.4,0.585,0.566,2.9,3.4,0.865,0.7,3.4,4,5.4,0.9,0.2,2.1,1.9,15.6,reaveau01
411,Cam Reddish,SF,24,LAL,37,26,22.7,2.3,5.6,0.407,0.9,2.6,0.34,1.4,3,0.464,0.486,1,1.2,0.783,0.5,1.8,2.4,1.3,1.2,0.3,0.8,1.5,6.5,reddica01
412,Paul Reed,C,24,PHI,59,22,18.2,2.9,5.4,0.544,0.2,0.6,0.343,2.7,4.8,0.569,0.563,0.6,0.8,0.739,2.2,3.4,5.6,1.2,0.7,0.8,0.7,2.4,6.6,reedpa01
413,Naz Reid,C,24,MIN,60,0,23,4.7,9.7,0.485,1.9,4.6,0.406,2.8,5.1,0.558,0.582,1.2,1.6,0.766,1,3.8,4.7,1.1,0.7,0.8,1.2,2.1,12.4,reidna01
414,Jared Rhoden,SG,24,DET,6,0,7,1,1.8,0.545,0.2,0.7,0.25,0.8,1.2,0.714,0.591,0.3,0.3,1,0.2,0.7,0.8,0.7,0,0.3,0.5,0.7,2.5,rhodeja01
415,Nick Richards,C,26,CHO,51,38,26.1,3.9,5.7,0.692,0,0,0,3.9,5.6,0.694,0.692,2.2,3,0.73,2.7,5.4,8,0.8,0.4,1.3,1.1,2.7,10,richani01
416,Josh Richardson,SG,30,MIA,43,6,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,richajo01
417,Duncan Robinson,SF,29,MIA,54,22,28,4.6,10.1,0.455,2.8,6.8,0.409,1.8,3.3,0.551,0.594,1.3,1.5,0.886,0.2,2.2,2.4,3,0.7,0.2,1.4,2.4,13.3,robindu01
418,Jerome Robinson,SG,26,GSW,13,0,3,0.2,0.9,0.167,0.1,0.5,0.143,0.1,0.4,0.2,0.208,0.4,0.6,0.625,0.1,0.2,0.2,0.2,0,0.1,0,0.2,0.8,robinje01
419,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,0.592,0,0,,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2,robinmi01
420,Orlando Robinson,C,23,MIA,25,7,10.1,1.3,2.5,0.516,0.3,0.5,0.538,1,2,0.51,0.573,0.7,1,0.75,0.8,2,2.8,1.1,0.2,0.3,0.6,1.2,3.6,robinor01
421,Jeremiah Robinson-Earl,PF,23,NOP,26,1,9.8,1.3,2.6,0.515,0.5,1.1,0.414,0.9,1.5,0.59,0.603,0.5,0.6,0.8,0.7,1.5,2.2,0.4,0.3,0.2,0.5,0.7,3.6,robinje02
422,David Roddy,PF,22,TOT,51,13,22.1,3.1,7.6,0.404,0.9,3.1,0.304,2.1,4.5,0.472,0.465,0.9,1.3,0.687,1,3,4,1.5,0.5,0.2,1.1,1.4,8,roddyda01
422,David Roddy,PF,22,MEM,48,13,23.2,3.2,8,0.402,1,3.3,0.301,2.3,4.8,0.47,0.462,1,1.4,0.687,1.1,3.1,4.2,1.6,0.5,0.2,1.1,1.4,8.4,roddyda01
422,David Roddy,PF,22,PHO,3,0,4,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0,0.7,0.7,0,0,0,0.3,0.3,1.7,roddyda01
423,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,rolliry01
424,Derrick Rose,PG,35,MEM,24,7,16.6,3.2,6.9,0.461,0.6,1.7,0.366,2.5,5.2,0.492,0.506,1,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8,rosede01
425,Terry Rozier,SG-PG,29,TOT,42,41,34,7.4,16.8,0.441,2.3,6.9,0.333,5.1,9.9,0.516,0.509,3.4,3.9,0.87,0.6,3.4,4.1,6.2,1,0.4,1.9,1.7,20.5,roziete01
425,Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,roziete01
425,Terry Rozier,PG,29,MIA,12,11,30.2,4.9,13.1,0.376,1.2,4.9,0.237,3.8,8.2,0.459,0.42,2.7,2.8,0.97,0.8,3.7,4.5,5.3,0.8,0.3,1.3,1.7,13.7,roziete01
426,Rayan Rupert,SG,19,POR,17,0,7.4,0.9,2.6,0.356,0.5,1.1,0.444,0.5,1.6,0.296,0.444,0.4,0.6,0.7,0.5,0.9,1.4,0.8,0.2,0,0.4,0.5,2.8,ruperra01
427,D'Angelo Russell,PG,27,LAL,56,49,31.7,6.5,13.9,0.466,2.7,6.6,0.417,3.8,7.4,0.51,0.564,2,2.5,0.804,0.4,2.5,2.9,6.4,0.8,0.5,2,2.1,17.7,russeda01
428,Matt Ryan,SF,26,NOP,18,1,19,2.5,5.6,0.45,2.1,4.5,0.469,0.4,1.1,0.368,0.64,0.7,0.8,0.929,0.3,1.7,2.1,0.8,0.3,0.1,1,1.6,7.8,ryanma01
429,Domantas Sabonis,C,27,SAC,59,59,35.8,8.1,13.1,0.614,0.5,1.1,0.424,7.6,12,0.631,0.632,3.3,4.8,0.689,3.4,9.9,13.2,8.4,0.8,0.6,3.2,3.1,19.9,sabondo01
430,Luka Šamanić,PF,24,UTA,28,0,5.8,0.9,2.4,0.388,0.3,1,0.259,0.7,1.4,0.475,0.44,0.6,0.8,0.818,0.3,1.4,1.7,0.1,0,0.1,0.4,0.6,2.8,samanlu01
431,Jermaine Samuels,SF,25,HOU,11,0,4.8,0.7,1,0.727,0,0.2,0,0.7,0.8,0.889,0.727,0.2,0.2,1,0.2,0.8,1,0.2,0.1,0.1,0,0.4,1.6,samueje01
432,Adama Sanogo,PF,21,CHI,3,0,3.7,1,1,1,0,0,,1,1,1,1,0.7,1,0.667,0.7,1.3,2,0,0,0,0.3,0,2.7,sanogad01
433,Gui Santos,PF,21,GSW,14,0,8.4,1.2,2.4,0.5,0.4,1.1,0.4,0.8,1.4,0.579,0.588,1,1.1,0.933,0.9,1.6,2.4,0.5,0.2,0.1,0.3,1.1,3.9,santogu01
434,Dario Šarić,C,29,GSW,57,9,18.4,3.1,6.6,0.465,1.3,3.4,0.382,1.8,3.2,0.552,0.563,1.3,1.5,0.864,1.2,3.5,4.8,2.4,0.5,0.2,1.2,1.9,8.7,saricda01
435,Olivier Sarr,C,24,OKC,13,0,6.9,0.8,1.4,0.556,0.2,0.5,0.333,0.6,0.9,0.667,0.611,0.7,1,0.692,0.8,1.9,2.7,0.2,0,0.5,0.2,1.3,2.4,sarrol01
436,Marcus Sasser,PG,23,DET,50,0,16.3,2.9,6.2,0.468,1.2,2.8,0.424,1.7,3.4,0.503,0.563,0.7,0.8,0.85,0.1,1.4,1.5,3,0.5,0.2,1,1.4,7.7,sassema01
437,Admiral Schofield,PF,26,ORL,13,0,3.8,0.5,1.2,0.375,0.2,0.8,0.3,0.2,0.5,0.5,0.469,0,0.2,0,0.1,0.5,0.6,0.4,0,0,0.3,0.5,1.2,schofad01
438,Dennis Schröder,PG,30,TOT,59,37,29.9,4.8,11,0.44,1.6,4.3,0.371,3.2,6.6,0.485,0.513,2.2,2.6,0.833,0.4,2.4,2.8,5.9,0.8,0.1,1.7,2.1,13.5,schrode01
438,Dennis Schröder,PG,30,TOR,51,33,30.6,4.8,11,0.442,1.5,4.3,0.35,3.3,6.6,0.501,0.511,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7,schrode01
438,Dennis Schröder,PG,30,BRK,8,4,25.9,4.8,11.1,0.427,2.3,4.5,0.5,2.5,6.6,0.377,0.528,0.4,0.9,0.429,0.1,3,3.1,4.3,0.4,0,2.3,2,12.1,schrode01
439,Dereon Seabron,SG,23,NOP,6,0,9.2,0.7,2.2,0.308,0.2,0.3,0.5,0.5,1.8,0.273,0.346,0.8,1,0.833,0.2,1,1.2,0.8,0.3,0.2,0,0.7,2.3,seabrde01
440,Alperen Şengün,C,21,HOU,58,58,32.3,8.2,15.2,0.539,0.5,1.8,0.292,7.7,13.4,0.573,0.557,3.9,5.6,0.706,2.8,6.3,9.1,4.9,1.1,0.7,2.6,3.3,20.8,sengual01
441,Brice Sensabaugh,SF,20,UTA,10,0,7.6,1,2.6,0.385,0.5,1.4,0.357,0.5,1.2,0.417,0.481,0.3,0.3,1,0.1,0.8,0.9,0.4,0.1,0,0.7,1,2.8,sensabr01
442,Collin Sexton,SG,25,UTA,60,37,24.8,6,12.4,0.484,1.6,4.1,0.399,4.4,8.4,0.525,0.549,4.3,5,0.859,0.8,1.7,2.5,4.6,0.8,0.2,2,2,17.9,sextoco01
443,Landry Shamet,SG,26,WAS,43,5,16,2.7,6.3,0.43,1.2,3.6,0.342,1.5,2.7,0.548,0.528,0.9,1.1,0.826,0.4,1,1.4,1.2,0.6,0.2,0.7,1.7,7.5,shamela01
444,Day'Ron Sharpe,C,22,BRK,44,1,15.7,3,5.1,0.587,0.1,0.3,0.364,2.9,4.8,0.599,0.596,1.4,2.2,0.622,2.7,4.1,6.8,1.5,0.5,0.8,1.1,2.3,7.4,sharpda01
445,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,sharpsh01
446,Ben Sheppard,SG,22,IND,37,0,11.6,1.4,3.3,0.41,0.8,2.2,0.337,0.6,1.1,0.564,0.525,0.4,0.5,0.824,0.2,1.1,1.3,0.8,0.5,0.1,0.2,1.4,3.8,sheppbe01
447,Pascal Siakam,PF,29,TOT,59,59,34,8.4,15.8,0.534,1.2,3.5,0.341,7.2,12.3,0.589,0.572,3.7,5,0.735,1.5,5,6.5,4.7,0.8,0.3,1.9,2.4,21.7,siakapa01
447,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,siakapa01
447,Pascal Siakam,PF,29,IND,20,20,32.5,8.6,15.4,0.558,1.3,3.2,0.397,7.4,12.3,0.6,0.599,2.4,3.6,0.662,1.8,5.1,6.8,4.5,0.8,0.4,1.5,2.7,20.8,siakapa01
448,Ben Simmons,PG,27,BRK,15,12,23.9,2.9,4.9,0.581,0,0,,2.9,4.9,0.581,0.581,0.4,1,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,simmobe01
449,Anfernee Simons,SG,24,POR,35,35,33.6,7.7,18.2,0.424,3.3,8.6,0.377,4.5,9.6,0.466,0.513,3.5,3.8,0.917,0.5,3,3.5,5.3,0.5,0.1,2.6,2.2,22.1,simonan01
450,Jericho Sims,C,25,NYK,33,10,12.5,1,1.4,0.733,0,0,,1,1.4,0.733,0.733,0.4,0.6,0.65,1.2,1.9,3.1,0.6,0.1,0.4,0.3,0.9,2.4,simsje01
451,Dmytro Skapintsev,C,25,NYK,2,0,1,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,skapidm01
452,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8,slawsja01
453,Javonte Smart,PG,24,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,smartja01
454,Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,smartma01
455,Dennis Smith Jr.,PG,26,BRK,43,1,19.7,2.8,6.4,0.433,0.5,1.9,0.275,2.3,4.6,0.497,0.473,0.8,1.1,0.745,1,2.2,3.2,3.9,1.1,0.2,1.3,2.2,6.9,smithde03
456,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,smithdr01
457,Ish Smith,PG,35,CHO,43,5,17.2,1.5,3.7,0.418,0.1,0.2,0.5,1.4,3.5,0.413,0.43,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2,smithis01
458,Jabari Smith Jr.,PF,20,HOU,54,54,32.1,4.9,10.9,0.451,1.7,4.7,0.355,3.2,6.1,0.524,0.528,1.9,2.4,0.819,2.1,6.8,8.8,1.5,0.7,0.7,1.2,2.7,13.4,smithja05
459,Jalen Smith,C,23,IND,42,13,17.8,4.1,6.7,0.616,1.1,2.4,0.451,3,4.3,0.709,0.698,1.1,1.5,0.708,1.6,3.9,5.5,1,0.3,0.6,0.8,2.2,10.4,smithja04
460,Nick Smith Jr.,SG,19,CHO,37,0,15.5,2.4,5.9,0.406,1.4,3.1,0.451,1,2.8,0.356,0.523,0.3,0.4,0.846,0.4,1,1.5,1.2,0.2,0.2,0.9,1.2,6.4,smithni01
461,Terquavion Smith,PG,21,PHI,12,0,5.8,1.3,3.3,0.4,1,2.6,0.387,0.3,0.8,0.444,0.55,0.2,0.3,0.667,0,0.2,0.2,0.8,0.6,0,0.3,0.3,3.8,smithte01
462,Jeremy Sochan,PF,20,SAS,60,59,29.4,4.5,10.2,0.44,1,2.8,0.335,3.5,7.3,0.481,0.487,1.4,1.9,0.768,1.8,4.3,6.1,3.4,0.8,0.4,1.9,2.3,11.3,sochaje01
463,Pat Spencer,PG,27,GSW,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,spencpa01
464,Jaden Springer,SG-PG,21,TOT,36,1,10.7,1.3,3.4,0.385,0.2,1.1,0.211,1.1,2.3,0.464,0.418,0.8,0.9,0.824,0.8,0.9,1.7,1,0.7,0.3,0.7,1.4,3.6,sprinja01
464,Jaden Springer,SG,21,PHI,32,1,11.8,1.4,3.7,0.39,0.3,1.2,0.216,1.2,2.5,0.469,0.424,0.9,1.1,0.824,0.8,1,1.8,1.1,0.8,0.3,0.8,1.5,4,sprinja01
464,Jaden Springer,PG,21,BOS,4,0,1.8,0.3,1,0.25,0,0.3,0,0.3,0.8,0.333,0.25,0,0,,0.5,0,0.5,0,0,0,0,0.3,0.5,sprinja01
465,Lamar Stevens,PF,26,TOT,26,1,10.3,2.2,4.2,0.523,0.3,0.5,0.5,1.9,3.7,0.526,0.555,0.7,0.9,0.708,0.8,1.8,2.6,0.6,0.3,0.5,0.7,1.1,5.3,stevela01
465,Lamar Stevens,PF,26,BOS,19,1,6.4,1.1,2.4,0.467,0.2,0.4,0.375,0.9,1.9,0.486,0.5,0.4,0.6,0.727,0.6,1,1.6,0.4,0.3,0.3,0.5,0.7,2.8,stevela01
465,Lamar Stevens,PF,26,MEM,7,0,20.7,5.1,9.1,0.563,0.6,0.9,0.667,4.6,8.3,0.552,0.594,1.3,1.9,0.692,1.3,3.9,5.1,1,0.4,1,1.1,2,12.1,stevela01
466,Isaiah Stewart,PF,22,DET,37,36,30.7,4.1,8.7,0.471,1.5,3.9,0.382,2.6,4.8,0.542,0.556,1.5,2,0.74,1.8,5.2,6.9,1.7,0.4,0.8,1.5,2.4,11.2,stewais01
467,Julian Strawther,SF,21,DEN,39,0,12.7,1.9,5.1,0.375,1,3.2,0.304,0.9,1.9,0.493,0.47,0.5,0.6,0.72,0.1,1.2,1.3,1.1,0.4,0.2,0.4,1.2,5.3,strawju01
468,Max Strus,SF,27,CLE,59,59,32.2,4.4,10.7,0.415,2.4,7.1,0.341,2,3.6,0.561,0.528,1.1,1.3,0.785,0.9,3.9,4.8,3.8,0.9,0.5,1.5,2.6,12.3,strusma01
469,Jalen Suggs,SG,22,ORL,55,55,26.6,4.4,9.6,0.457,2.1,5.2,0.392,2.3,4.4,0.533,0.563,1.4,1.9,0.76,0.7,2.5,3.2,2.5,1.4,0.6,1.9,2.8,12.3,suggsja01
470,Cole Swider,SF,24,MIA,11,0,5,0.8,2.3,0.36,0.5,1.7,0.263,0.4,0.5,0.667,0.46,0.2,0.2,1,0.1,0.3,0.4,0.4,0.1,0.1,0.5,0.2,2.3,swideco01
471,Jae'Sean Tate,SF,28,HOU,53,9,17.1,1.8,3.7,0.47,0.4,1.3,0.304,1.4,2.4,0.558,0.523,0.4,0.6,0.688,1,2.3,3.3,1.1,0.7,0.2,0.5,2.3,4.3,tateja01
472,Jayson Tatum,PF,25,BOS,56,56,35.9,9.2,19.3,0.476,3.1,8.4,0.364,6.1,10.9,0.561,0.555,5.6,6.8,0.826,0.8,7.7,8.5,4.8,1,0.6,2.5,2,27.1,tatumja01
473,Terry Taylor,PF,24,CHI,23,0,7,0.7,1.5,0.5,0.1,0.4,0.222,0.7,1.1,0.6,0.529,0.1,0.1,0.667,0.7,0.8,1.4,0.3,0.2,0.1,0.3,0.7,1.7,taylote01
474,Garrett Temple,SG,37,TOR,16,0,4.3,0.5,1.3,0.381,0.1,0.6,0.222,0.4,0.8,0.5,0.429,0.3,0.4,0.833,0.3,0.4,0.7,0.4,0.2,0,0.3,0.4,1.4,templga01
475,Dalen Terry,SG,21,CHI,40,1,10.1,0.8,2.1,0.393,0.3,1.2,0.239,0.6,1,0.579,0.458,0.5,0.7,0.692,0.4,1.3,1.7,1.3,0.4,0.2,0.5,1.3,2.4,terryda01
476,Daniel Theis,C,31,TOT,43,3,17.1,2.6,4.9,0.541,0.4,1,0.4,2.2,3.8,0.579,0.584,0.7,1,0.721,1.4,2.3,3.8,1,0.4,0.9,0.7,2.3,6.4,theisda01
476,Daniel Theis,C,31,IND,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,0,0,0,0,0,0,1,2,theisda01
476,Daniel Theis,C,31,LAC,42,3,17.4,2.7,4.9,0.546,0.4,1,0.409,2.2,3.8,0.584,0.59,0.7,1,0.721,1.5,2.4,3.9,1,0.4,0.9,0.7,2.3,6.5,theisda01
477,Cam Thomas,SG,22,BRK,48,33,29.8,7.5,17.3,0.437,2,5.6,0.36,5.5,11.7,0.474,0.495,3.8,4.5,0.839,0.4,2.5,2.9,2.7,0.8,0.3,1.8,2.1,20.9,thomaca02
478,Amen Thompson,SF,21,HOU,40,6,19.5,3.1,6.3,0.5,0.2,1.2,0.149,3,5.1,0.581,0.514,1.3,2.1,0.631,1.8,3.8,5.7,2.3,1.2,0.6,1.5,2.3,7.8,thompam01
479,Ausar Thompson,SF,21,DET,59,34,24.8,3.7,7.5,0.495,0.3,1.6,0.188,3.4,5.9,0.58,0.516,1.1,1.8,0.589,2.1,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,thompau01
480,Klay Thompson,SF,33,GSW,56,50,30.2,6.1,14.5,0.42,3.3,8.8,0.378,2.8,5.7,0.484,0.535,1.7,1.8,0.922,0.5,3.1,3.5,2.2,0.6,0.5,1.5,1.8,17.1,thompkl01
481,Tristan Thompson,C,32,CLE,36,0,12.4,1.7,2.6,0.649,0,0,0,1.7,2.6,0.656,0.649,0.4,1.2,0.31,1.6,2.3,3.9,1.1,0.2,0.3,0.6,1.4,3.8,thomptr01
482,JT Thor,PF,21,CHO,46,1,12.8,1.1,3,0.364,0.4,1.3,0.317,0.7,1.7,0.4,0.432,0.2,0.3,0.538,0.8,1.6,2.4,0.4,0.2,0.4,0.3,1,2.8,thorjt01
483,Matisse Thybulle,SF,26,POR,56,19,23.3,1.9,4.9,0.387,1.2,3.6,0.338,0.7,1.3,0.529,0.513,0.3,0.4,0.792,0.4,1.5,1.9,1.3,1.8,0.8,0.6,1.4,5.4,thybuma01
484,Xavier Tillman Sr.,C-PF,25,TOT,36,13,19.9,2.5,6,0.419,0.3,1.5,0.226,2.2,4.6,0.482,0.447,0.5,1.2,0.419,1.6,2.8,4.4,1.6,1.2,1,0.8,1.7,5.9,tillmxa01
484,Xavier Tillman Sr.,C,25,MEM,34,13,20.6,2.6,6.3,0.408,0.4,1.6,0.226,2.2,4.7,0.469,0.437,0.5,1.3,0.419,1.6,3,4.6,1.7,1.2,1,0.9,1.8,6,tillmxa01
484,Xavier Tillman Sr.,PF,25,BOS,2,0,9,2,2,1,0,0,,2,2,1,1,0,0,,0,0.5,0.5,1,0,1,0,1,4,tillmxa01
485,Jacob Toppin,SF,23,NYK,8,0,4.6,0.6,1.1,0.556,0.1,0.5,0.25,0.5,0.6,0.8,0.611,0.3,0.3,1,0.4,0.5,0.9,0.4,0,0.1,0.1,0.4,1.6,toppija01
486,Obi Toppin,PF,25,IND,61,28,22.2,4.1,7.3,0.562,1.3,3.2,0.4,2.8,4.1,0.687,0.649,1,1.3,0.747,1.1,2.8,3.9,1.6,0.5,0.5,0.9,1.8,10.5,toppiob01
487,Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6,toscaju01
488,Karl-Anthony Towns,PF,28,MIN,58,58,33,7.9,15.6,0.51,2.3,5.3,0.43,5.7,10.3,0.551,0.583,4.2,4.8,0.878,1.5,7,8.5,2.9,0.7,0.7,2.8,3.3,22.3,townska01
489,Gary Trent Jr.,SG,25,TOR,55,25,26.8,4.3,10.4,0.416,2.4,5.8,0.406,1.9,4.5,0.428,0.53,0.7,1,0.704,0.3,2.1,2.3,1.5,0.9,0.1,0.7,1.3,11.7,trentga02
490,Oscar Tshiebwe,PF,24,IND,8,0,5.3,1.3,2.5,0.5,0,0,,1.3,2.5,0.5,0.5,0.8,1,0.75,1,1,2,0.3,0.3,0.1,0,0.4,3.3,tshieos01
491,P.J. Tucker,PF,38,TOT,18,3,14.9,0.3,1.1,0.3,0.3,0.9,0.313,0.1,0.2,0.25,0.425,0.2,0.2,1,0.9,1.7,2.7,0.4,0.5,0.2,0.3,2.1,1.1,tuckepj01
491,P.J. Tucker,PF,38,PHI,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,,0.6,0,0,,0.3,4.3,4.7,0,1,0.7,0.7,3,2,tuckepj01
491,P.J. Tucker,PF,38,LAC,15,0,13.5,0.3,1,0.267,0.2,0.7,0.273,0.1,0.3,0.25,0.367,0.2,0.2,1,1.1,1.2,2.3,0.5,0.4,0.1,0.2,1.9,0.9,tuckepj01
492,Myles Turner,C,27,IND,57,57,27.3,6.2,11.8,0.527,1.3,4,0.33,4.9,7.8,0.628,0.583,3.5,4.4,0.788,1.6,5.5,7.1,1.3,0.6,1.8,1.5,3.2,17.2,turnemy01
493,Hunter Tyson,PF,23,DEN,10,0,3,0.2,1,0.2,0.1,0.8,0.125,0.1,0.2,0.5,0.25,0,0,,0.1,0.7,0.8,0.1,0,0,0.2,0.6,0.5,tysonhu01
494,Stanley Umude,SG,24,DET,17,0,11.2,1.5,3.1,0.481,1,1.8,0.548,0.5,1.2,0.381,0.644,1.3,1.4,0.917,0.2,1.6,1.8,0.5,0.2,0.3,0.6,1.6,5.2,umudest01
495,Jonas Valančiūnas,C,31,NOP,61,61,25.2,5.4,9.5,0.569,0.5,1.5,0.351,4.9,7.9,0.612,0.598,2.2,2.7,0.795,2.6,6.9,9.5,2.2,0.4,1,1.4,2.8,13.5,valanjo01
496,Jarred Vanderbilt,PF,24,LAL,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2,vandeja01
497,Fred VanVleet,PG,29,HOU,52,52,36.7,5.4,13.4,0.405,2.9,7.8,0.369,2.6,5.6,0.454,0.512,2.6,3,0.86,0.4,3.3,3.7,7.9,1.1,0.9,1.7,2.3,16.4,vanvlfr01
498,Devin Vassell,SG,23,SAS,55,49,32,7.2,15.2,0.471,2.5,6.7,0.376,4.7,8.5,0.546,0.554,2.5,3.1,0.794,0.4,3.3,3.7,3.9,1,0.4,1.5,1,19.3,vassede01
499,Sasha Vezenkov,PF,28,SAC,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1,5.6,vezenal01
500,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2,3,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1,3,1.2,0,0.4,2.4,5.4,vincega01
501,Nikola Vučević,C,33,CHI,55,53,34.6,7.7,16.2,0.474,1.1,4.2,0.273,6.5,12,0.544,0.509,1.4,1.7,0.835,2.8,7.9,10.7,3.4,0.7,0.8,1.6,2.7,17.9,vucevni01
502,Dean Wade,PF,27,CLE,50,30,20.1,1.7,4.1,0.411,1.4,3.6,0.398,0.3,0.5,0.5,0.585,0.3,0.4,0.81,0.7,3.3,4,0.8,0.8,0.4,0.4,1.8,5.2,wadede01
503,Franz Wagner,SF,22,ORL,52,52,33.1,7.7,15.9,0.481,1.5,5,0.308,6.1,10.9,0.561,0.53,3.8,4.4,0.855,1.1,4.5,5.6,4.1,1.1,0.4,2.1,2.3,20.6,wagnefr01
504,Moritz Wagner,C,26,ORL,58,1,18.5,4.3,7.2,0.592,0.5,1.4,0.325,3.8,5.8,0.658,0.624,2.3,2.9,0.804,1.6,3,4.6,1.2,0.5,0.3,1.2,2.1,11.3,wagnemo01
505,Ish Wainright,SF,29,POR,7,0,6.6,0.9,2.6,0.333,0.9,2.3,0.375,0,0.3,0,0.5,0.3,0.3,1,0,1.3,1.3,0,0.3,0.1,0.1,0.6,2.9,wainris01
506,Jabari Walker,SF,21,POR,54,14,21.9,3.1,6.5,0.471,0.5,1.9,0.275,2.5,4.6,0.552,0.511,1.7,2.3,0.762,2,4.3,6.3,0.8,0.6,0.4,0.9,2.2,8.4,walkeja01
507,Jarace Walker,PF,20,IND,20,0,10.4,1.5,3.8,0.395,0.7,1.9,0.378,0.8,2,0.41,0.487,0.3,0.4,0.857,0.4,1.5,1.9,1.4,0.6,0.5,0.6,1,4,walkeja02
508,Lonnie Walker IV,SG,25,BRK,39,0,18.1,4,8.9,0.451,2.1,4.9,0.427,1.9,4,0.481,0.569,1,1.3,0.776,0.2,1.9,2.2,1.5,0.7,0.3,1,1.3,11.1,walkelo01
509,Cason Wallace,SG,20,OKC,59,9,20.5,2.6,5.1,0.505,1.2,2.8,0.413,1.4,2.3,0.618,0.619,0.4,0.5,0.793,0.6,1.6,2.3,1.4,0.8,0.4,0.4,1.6,6.7,wallaca01
510,Jordan Walsh,SF,19,BOS,4,0,8.3,0.3,1.3,0.2,0,0.8,0,0.3,0.5,0.5,0.2,0,0,,0.5,2.3,2.8,0.5,0.5,0.3,0.5,1.3,0.5,walshjo01
511,P.J. Washington,PF,25,TOT,52,24,29.6,5.1,11.4,0.446,1.8,5.5,0.321,3.3,5.9,0.564,0.524,1.4,2,0.689,1.2,4.1,5.3,2.1,0.9,0.8,1.5,2.5,13.3,washipj01
